user_id,full_name,email,city,signup_date
1,Carlos Flores,user1@example.com,Trujillo,2023-09-03
2,Camila Rojas,user2@example.com,Cusco,2025-03-24
3,Sofía García,user3@example.com,Chiclayo,2023-03-02
4,Andrés Rojas,user4@example.com,Arequipa,2025-05-18
5,Elena Romero,user5@example.com,Chiclayo,2025-07-22
6,Elena Guzmán,user6@example.com,Huancayo,2025-02-14
7,Elena Mendoza,user7@example.com,Cusco,2023-10-17
8,Jorge Huamán,user8@example.com,Iquitos,2025-02-20
9,Carlos Torres,user9@example.com,Huancayo,2024-02-18
10,Sofía Vargas,user10@example.com,Arequipa,2024-05-17
11,Ana Rojas,user11@example.com,Arequipa,2023-11-26
12,Elena Rojas,user12@example.com,Huancayo,2023-11-10
13,Miguel Torres,user13@example.com,Lima,2024-06-24
14,Camila García,user14@example.com,Cusco,2023-04-02
15,Lucía Guzmán,user15@example.com,Trujillo,2024-10-18
16,Jorge Salazar,user16@example.com,Lima,2024-07-01
17,Ana García,user17@example.com,Piura,2024-01-30
18,Carlos Flores,user18@example.com,Lima,2025-04-23
19,Camila Mendoza,user19@example.com,Huancayo,2025-01-26
20,Elena Castro,user20@example.com,Trujillo,2024-06-04
21,Jorge Mendoza,user21@example.com,Lima,2025-07-21
22,Carlos Romero,user22@example.com,Iquitos,2023-07-10
23,Andrés Sánchez,user23@example.com,Chiclayo,2023-03-16
24,Valeria Sánchez,user24@example.com,Iquitos,2023-07-31
25,Pedro Mendoza,user25@example.com,Lima,2023-02-16
26,Andrés Vargas,user26@example.com,Cusco,2025-07-10
27,Valeria Romero,user27@example.com,Piura,2023-01-05
28,Andrés Sánchez,user28@example.com,Chiclayo,2023-07-01
29,Sofía Sánchez,user29@example.com,Chiclayo,2025-07-28
30,Camila Vargas,user30@example.com,Lima,2023-06-09
31,María Guzmán,user31@example.com,Cusco,2024-09-28
32,Daniel Torres,user32@example.com,Huancayo,2024-11-27
33,Pedro Salazar,user33@example.com,Piura,2023-07-29
34,Andrés Mendoza,user34@example.com,Piura,2024-02-24
35,Valeria García,user35@example.com,Huancayo,2025-04-23
36,Sofía Vargas,user36@example.com,Piura,2025-05-12
37,Andrés Sánchez,user37@example.com,Iquitos,2023-09-17
38,Pedro García,user38@example.com,Huancayo,2023-02-12
39,Valeria Rojas,user39@example.com,Trujillo,2024-11-09
40,Valeria Sánchez,user40@example.com,Arequipa,2024-10-14
41,Luis Romero,user41@example.com,Trujillo,2025-07-12
42,Diego Rojas,user42@example.com,Arequipa,2023-07-07
43,Elena Flores,user43@example.com,Trujillo,2025-01-27
44,Lucía Mendoza,user44@example.com,Huancayo,2023-10-19
45,Elena Torres,user45@example.com,Piura,2025-05-26
46,Pedro Torres,user46@example.com,Arequipa,2025-02-18
47,Luis Vargas,user47@example.com,Cusco,2023-03-30
48,Elena Rojas,user48@example.com,Cusco,2023-05-11
49,Elena García,user49@example.com,Iquitos,2024-05-05
50,Luis Romero,user50@example.com,Cusco,2023-02-08
51,Camila Vargas,user51@example.com,Trujillo,2023-03-27
52,Diego Salazar,user52@example.com,Arequipa,2023-09-05
53,Sofía Guzmán,user53@example.com,Chiclayo,2024-03-24
54,Valeria Huamán,user54@example.com,Iquitos,2024-09-03
55,Diego García,user55@example.com,Cusco,2025-02-25
56,Carlos Salazar,user56@example.com,Chiclayo,2023-02-14
57,Pedro García,user57@example.com,Trujillo,2023-12-16
58,Camila Torres,user58@example.com,Trujillo,2023-12-25
59,Miguel Sánchez,user59@example.com,Lima,2024-02-05
60,Sofía Huamán,user60@example.com,Piura,2024-06-01
61,Luis Sánchez,user61@example.com,Trujillo,2024-10-04
62,Carlos Flores,user62@example.com,Iquitos,2023-01-26
63,Camila Rojas,user63@example.com,Arequipa,2025-05-13
64,Carlos Guzmán,user64@example.com,Piura,2024-07-24
65,María Huamán,user65@example.com,Chiclayo,2023-02-28
66,Luis Mendoza,user66@example.com,Arequipa,2024-02-24
67,Elena Castro,user67@example.com,Lima,2024-09-25
68,Valeria Huamán,user68@example.com,Chiclayo,2024-01-15
69,Ana Huamán,user69@example.com,Arequipa,2024-12-01
70,Carlos García,user70@example.com,Huancayo,2023-01-04
71,Pedro García,user71@example.com,Huancayo,2025-02-26
72,Pedro Romero,user72@example.com,Cusco,2025-02-19
73,Daniel García,user73@example.com,Arequipa,2023-01-21
74,Daniel Rojas,user74@example.com,Huancayo,2023-10-17
75,Daniel Guzmán,user75@example.com,Huancayo,2024-04-05
76,Andrés Salazar,user76@example.com,Cusco,2024-11-30
77,Miguel Guzmán,user77@example.com,Piura,2023-12-20
78,Daniel Rojas,user78@example.com,Iquitos,2025-07-30
79,Andrés Huamán,user79@example.com,Iquitos,2024-07-03
80,Andrés Flores,user80@example.com,Cusco,2023-05-28
81,Lucía Mendoza,user81@example.com,Trujillo,2024-02-02
82,Lucía Huamán,user82@example.com,Chiclayo,2025-01-27
83,Ana Vargas,user83@example.com,Piura,2023-05-28
84,Ana Rojas,user84@example.com,Huancayo,2024-12-28
85,Andrés Castro,user85@example.com,Cusco,2024-02-16
