customer_id,first_name,last_name,email,city,signup_date
1,Carlos,Torres,carlos.torres.1@example.com,Chiclayo,2023-11-24
2,Andrés,Castro,andrés.castro.2@example.com,Arequipa,2023-05-22
3,María,Sánchez,maría.sánchez.3@example.com,Huancayo,2024-12-11
4,María,Salazar,maría.salazar.4@example.com,Cusco,2023-03-07
5,Sofía,Vargas,sofía.vargas.5@example.com,Chiclayo,2024-07-09
6,Miguel,Vargas,miguel.vargas.6@example.com,Lima,2023-07-31
7,Camila,Vargas,camila.vargas.7@example.com,Huancayo,2025-07-15
8,Diego,Guzmán,diego.guzmán.8@example.com,Lima,2025-05-27
9,Andrés,Guzmán,andrés.guzmán.9@example.com,Huancayo,2024-05-03
10,Ana,Flores,ana.flores.10@example.com,Piura,2025-02-10
11,Sofía,Vargas,sofía.vargas.11@example.com,Cusco,2024-05-14
12,Carlos,Torres,carlos.torres.12@example.com,Huancayo,2024-05-12
13,Ana,Vargas,ana.vargas.13@example.com,Chiclayo,2024-11-15
14,Daniel,Vargas,daniel.vargas.14@example.com,Trujillo,2025-05-10
15,Miguel,Huamán,miguel.huamán.15@example.com,Lima,2025-07-17
16,Sofía,Guzmán,sofía.guzmán.16@example.com,Lima,2023-03-27
17,Daniel,Vargas,daniel.vargas.17@example.com,Trujillo,2025-06-06
18,Miguel,Huamán,miguel.huamán.18@example.com,Lima,2023-09-24
19,Sofía,Flores,sofía.flores.19@example.com,Cusco,2024-04-10
20,Jorge,Flores,jorge.flores.20@example.com,Huancayo,2023-10-12
21,Diego,Vargas,diego.vargas.21@example.com,Piura,2025-05-04
22,Luis,Rojas,luis.rojas.22@example.com,Lima,2025-02-06
23,Elena,García,elena.garcía.23@example.com,Chiclayo,2023-08-18
24,Daniel,Romero,daniel.romero.24@example.com,Lima,2025-02-11
25,Ana,Sánchez,ana.sánchez.25@example.com,Cusco,2025-05-09
26,Ana,Guzmán,ana.guzmán.26@example.com,Trujillo,2023-09-02
27,María,Rojas,maría.rojas.27@example.com,Arequipa,2024-07-31
28,Carlos,Rojas,carlos.rojas.28@example.com,Piura,2025-02-24
29,Jorge,Huamán,jorge.huamán.29@example.com,Arequipa,2025-03-07
30,Camila,Huamán,camila.huamán.30@example.com,Piura,2023-04-21
31,Pedro,García,pedro.garcía.31@example.com,Piura,2024-08-12
32,Daniel,Vargas,daniel.vargas.32@example.com,Huancayo,2025-01-02
33,Carlos,Romero,carlos.romero.33@example.com,Cusco,2023-04-15
34,Valeria,Torres,valeria.torres.34@example.com,Arequipa,2025-03-26
35,Pedro,García,pedro.garcía.35@example.com,Chiclayo,2024-06-29
36,Sofía,Mendoza,sofía.mendoza.36@example.com,Chiclayo,2023-03-12
37,Elena,Mendoza,elena.mendoza.37@example.com,Chiclayo,2023-01-13
