order_id,order_date,first_name,last_name
1,2023-06-11,Ana,Rojas
182,2023-03-20,Ana,Rojas
557,2024-09-20,Ana,Rojas
916,2023-11-27,Ana,Rojas
960,2024-05-29,Ana,Rojas
2,2025-06-20,Camila,Salazar
64,2024-04-28,Camila,Salazar
821,2023-06-10,Camila,Salazar
874,2024-07-20,Camila,Salazar
3,2024-10-28,Daniel,Rojas
543,2023-01-01,Daniel,Rojas
4,2023-10-22,Miguel,Sánchez
228,2024-02-12,Miguel,Sánchez
387,2024-03-15,Miguel,Sánchez
474,2023-05-14,Miguel,Sánchez
483,2025-02-27,Miguel,Sánchez
637,2023-04-13,Miguel,Sánchez
908,2023-07-18,Miguel,Sánchez
1198,2024-09-12,Miguel,Sánchez
5,2023-03-02,Diego,Torres
67,2024-03-06,Diego,Torres
171,2025-03-14,Diego,Torres
252,2024-11-24,Diego,Torres
395,2023-02-25,Diego,Torres
977,2025-05-21,Diego,Torres
6,2024-10-29,Miguel,Guzmán
570,2025-04-21,Miguel,Guzmán
829,2025-05-27,Miguel,Guzmán
7,2025-01-26,Ana,Rojas
125,2024-10-26,Ana,Rojas
349,2024-02-12,Ana,Rojas
708,2024-10-15,Ana,Rojas
965,2023-08-14,Ana,Rojas
8,2023-02-08,María,Castro
29,2023-09-12,María,Castro
119,2023-07-14,María,Castro
915,2023-06-08,María,Castro
9,2024-03-03,Luis,Castro
272,2024-07-19,Luis,Castro
492,2023-02-01,Luis,Castro
559,2024-01-23,Luis,Castro
1000,2024-10-23,Luis,Castro
1129,2024-02-21,Luis,Castro
1200,2025-03-10,Luis,Castro
10,2025-07-30,María,Torres
671,2025-06-10,María,Torres
732,2023-11-17,María,Torres
862,2024-12-09,María,Torres
909,2024-11-30,María,Torres
11,2024-02-11,Daniel,García
673,2025-07-04,Daniel,García
762,2023-01-21,Daniel,García
1079,2024-12-14,Daniel,García
1154,2024-09-25,Daniel,García
12,2025-02-05,Luis,Guzmán
22,2023-01-15,Luis,Guzmán
205,2024-03-17,Luis,Guzmán
13,2023-10-24,Pedro,Salazar
854,2024-10-10,Pedro,Salazar
1106,2024-09-06,Pedro,Salazar
14,2023-11-02,Sofía,Vargas
371,2024-12-13,Sofía,Vargas
380,2024-09-16,Sofía,Vargas
15,2025-08-08,Ana,Romero
